percent_error,distance_km_at_or_above_error,absolute_diff_km_at_that_point
0.5,2208.909162659853,11.0472584191657
1.0,3126.018781553974,31.26376255488367
2.0,4427.425752756413,88.55342044686677
5.0,7032.641553613219,351.6509724152438
10.0,10024.156255488282,1002.4622465951015
15.0,12377.176918892754,1856.6359221336006
20.0,14412.751956900875,2882.641286595972
25.0,16254.977389528874,4063.7590779625425
