haversine_km,euclidean_km,absolute_difference_km,percent_error
6.3710000000000005e-06,6.3710000000000005e-06,0.0,0.0
0.4003161129878312,0.4003161129219771,6.585409995096825e-11,1.6450524426672297e-08
0.8006258549756623,0.8006258544488422,5.268201430652653e-10,6.580104049740933e-08
1.2009355969634934,1.2009355951854896,1.7780037442349794e-09,1.480515482037983e-07
1.601245338951325,1.6012453347368139,4.214511184486014e-09,2.63202089146823e-07
2.001555080939156,2.0015550727077094,8.231446635420525e-09,4.112525662575432e-07
2.401864822926987,2.401864808703069,1.4223918043398953e-08,5.922031043389546e-07
2.8021745649148184,2.8021745423277893,2.2587029135934245e-08,8.060536063220191e-07
3.2024843069026496,3.2024842731867635,3.371588608303e-08,1.0528040999407436e-06
3.6027940488904813,3.602794000884886,4.800559505468982e-08,1.3324546006029308e-06
4.0031037908783125,4.003103725027051,6.585126133273889e-08,1.6450050953660284e-06
4.403413532866144,4.4034134452181535,8.764799019900238e-08,1.99045557599386e-06
4.803723274853974,4.803723161063085,1.1379088871166232e-07,2.3688060739743877e-06
5.204033016841805,5.204032872166744,1.4467506126436547e-07,2.78005655990563e-06
5.604342758829636,5.604342578134023,1.80695613138937e-07,3.2242070286342003e-06
6.0046525008174685,6.004652278569817,2.2224765139355895e-07,3.701257505963956e-06
6.404962242805299,6.404961973079018,2.6972628042187807e-07,4.211207969646689e-06
6.805271984793129,6.805271661266522,3.235266072820764e-07,4.754058441823044e-06
7.205581726780961,7.205581342737225,3.8404373636780065e-07,5.329808902734758e-06
7.6058914687687915,7.605891017096018,4.5167277384905447e-07,5.938459360138217e-06
8.006201210756624,8.0062006839478,5.268088241194846e-07,6.580009798051262e-06
8.406510952744455,8.406510342897459,6.098469960136299e-07,7.254460256362772e-06
8.806820694732286,8.806819993549896,7.011823903724235e-07,7.961810676943029e-06
9.207130436720117,9.20712963551,8.012101169185826e-07,8.702061108238192e-06
9.607440178707948,9.60743926838267,9.103252782693971e-07,9.475211516662514e-06
10.00774992069578,10.007748891772797,1.0289229823712276e-06,1.02812619272534e-05
